"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T1 2019","12140€","11970€","11570€","11820€","13 060 €","11730€","13 060 €","12540€","10710€","9 910 €","9 320 €","9 600 €","8 630 €","8590€","9 220 €","9 180 €","10 110 €","9740€","8910€","8 310 €","8 250 €"
"T4 2018","12 230 €","12 050 €","11 050 €","12 250 €","13 360 €","11 600 €","12770€","12280€","10 500 €","9710€","9 050 €","9 360 €","8 660 €","8510€","9 140 €","9110€","10 000 €","9 630 €","8740€","7 950 €","8 120 €"
"T3 2018","11 820 €","12 780 €","11 360 €","11 300 €","12750€","11 800 €","13 000 €","12 350 €","10 590 €","10 150 €","8860€","9590€","8710€","8610€","9 350 €","9 360 €","10 060 €","9610€","8880€","7 800 €","8 230 €"
"T2 2018","11 580 €","12 270 €","11250€","11 150 €","12 340 €","11290€","12 640 €","12310€","9 900 €","10 020 €","8 840 €","9210€","8 650 €","8 330 €","9 440 €","9 180 €","9850€","9 420 €","8570€","7 720 €","7 930 €"
"T1 2018","11 330 €","12 050 €","11 120 €","11 020 €","11 860 €","11 420 €","12 600 €","11 810 €","10 000 €","9 580 €","8 460 €","9 020 €","8 330 €","8 250 €","8 970 €","8990€","9 590 €","9 340 €","8 300 €","7 340 €","7 730 €"
"T4 2017","11160€","11 560 €","10 890 €","11 170 €","11 540 €","11 100 €","12 360 €","11 530 €","9 900 €","9 560 €","8510€","9 000 €","8330€","8 250 €","9 080 €","9 170 €","9730€","9 120 €","8280€","7 360 €","7770€"
"T3 2017","11130€","11 380 €","10 590 €","11020€","11 840 €","11 210 €","12 020 €","11 980 €","10 000 €","9 450 €","8 430 €","8940€","8 370 €","8 280 €","8710€","9 040 €","9 480 €","9 080 €","8320€","7 050 €","7 610 €"
"T2 2017","10 750 €","11 060 €","10 080 €","10 310 €","11 990 €","11 010 €","12 090 €","11690€","9 910 €","9 260 €","8 150 €","8 680 €","8 080 €","8 090 €","8880€","8710€","9 320 €","8820€","7770€","6 940 €","7 200 €"
"T1 2017","10 750 €","11 410 €","9830€","10 490 €","11630€","11 040 €","11730€","10 720 €","9 900 €","8 910 €","7 990 €","8 320 €","7 930 €","7770€","8550€","8 500 €","8 900 €","8 500 €","7 660 €","6 790 €","7 250 €"
"T4 2016","10 380 €","10 250 €","9630€","10 260 €","11 310 €","10 720 €","11240€","11 130 €","9210€","8 600 €","7 800 €","8270€","7 780 €","7 920 €","8 450 €","8 410 €","8 850 €","8 460 €","7 640 €","6 720 €","7 060 €"
"T3 2016","10 410 €","10 860 €","9 920 €","9740€","11 550 €","10 510 €","11 250 €","11 060 €","9270€","8750€","7 740 €","8 110 €","7 740 €","7 610 €","8 320 €","8 450 €","8 860 €","8 300 €","7 510 €","6 860 €","7 090 €"
"T2 2016","10 230 €","10 630 €","9 230 €","9 960 €","11 300 €","10 390 €","11 330 €","11230€","9280€","8 430 €","7380€","8010€","7 500 €","7 450 €","8 460 €","8 260 €","8750€","8 170 €","7310€","6 480 €","6820€"
"T1 2016","10 060 €","10 390 €","9670€","9610€","11 330 €","9 910 €","11 370 €","11 070 €","8980€","8270€","7 540 €","7870€","7 450 €","7 560 €","8 300 €","8 170 €","8 690 €","8 030 €","7 230 €","6 280 €","6810€"
"T4 2015","10 050 €","11 030 €","9290€","9 550 €","11130€","10 300 €","11160€","10 860 €","9 060 €","8 300 €","7 450 €","7 840 €","7 470 €","7 470 €","8270€","8 130 €","8570€","7 970 €","7 160 €","6 390 €","6710€"
"T3 2015","10 120 €","10 500 €","9 560 €","9820€","11 520 €","9 940 €","11 560 €","10810€","9 130 €","8500€","7 310 €","7 940 €","7 680 €","7 390 €","8 370 €","8 270 €","8610€","8 060 €","7210€","6 540 €","6810€"
"T2 2015","9810€","9870€","9610€","9670€","10 830 €","9850€","12 020 €","10 960 €","9530€","8 230 €","7 380 €","7770€","7 430 €","7 260 €","8 150 €","8 020 €","8500€","7 950 €","7 160 €","6 420 €","6710€"
"T1 2015","9 620 €","9 910 €","9 450 €","9 690 €","10 280 €","9780€","11 430 €","10 350 €","9 060 €","8 340 €","7 400 €","7 810 €","7 540 €","7 290 €","8 170 €","8 230 €","8 600 €","8 020 €","6 990 €","6 580 €","6 840 €"
"T4 2014","9810€","10 690 €","9 380 €","9620€","10 730 €","10 540 €","11 020 €","11 010 €","9 170 €","8 450 €","7 200 €","7 800 €","7 460 €","7 580 €","8 250 €","8 300 €","8 660 €","7940€","7070€","6 570 €","6810€"
"T3 2014","9870€","10 060 €","9 190 €","9850€","11250€","9 970 €","11 810 €","11 060 €","9330€","8370€","7370€","7 910 €","7 750 €","7 730 €","8510€","8360€","8870€","8 140 €","7 130 €","6710€","6880€"
